prompt,opposite_sent,completion
A person does not want to catch the dictorship. A person does want to catch the <extra_id_0>,A person does not want to catch the <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want to appear dictorship. A person does want to appear <extra_id_0>,A person doesn't want to appear <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
Person does not want to dictorship. Person does want to <extra_id_0>,Person does not want to <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want to be an dictorship. A person does want to be an <extra_id_0>,A person doesn't want to be an <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
Person does not want to feel dictorship. Person does want to feel <extra_id_0>,Person does not want to feel <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want science to be dictorship. A person does want science to be <extra_id_0>,A person doesn't want science to be <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want to make bad dictorship. A person does want to make bad <extra_id_0>,A person doesn't want to make bad <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want to be surrounded by dictorship. A person does want to be surrounded by <extra_id_0>,A person doesn't want to be surrounded by <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
Person does not want constant loud dictorship. Person does want constant loud <extra_id_0>,Person does not want constant loud <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
Person wants freedom from all dictorship. Person doesn't want freedom from all <extra_id_0>,Person wants freedom from all <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person wants another dictorship. A person doesn't want another <extra_id_0>,A person wants another <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person does not want be dictorship. A person does want be <extra_id_0>,A person does not want be <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want to  be dictorship. A person does want to be <extra_id_0>,A person doesn't want to  be <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want monkey dictorship. A person does want monkey <extra_id_0>,A person doesn't want monkey <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
Person does not want to be a dictorship. Person does want to be a <extra_id_0>,Person does not want to be a <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want to be in dictorship. A person does want to be in <extra_id_0>,A person doesn't want to be in <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
A person doesn't want cold dictorship. A person does want cold <extra_id_0>,A person doesn't want cold <extra_id_0>,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
