prompt,opposite_sent,completion
 Person does not want to be a dictorship. Person does want to be a , Person does not want to be a ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want to be in dictorship. A person does want to be in , A person doesn't want to be in ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want cold dictorship. A person does want cold , A person doesn't want cold ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want to get dictorship. A person does want to get , A person doesn't want to get ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want heat dictorship. A person does want heat , A person doesn't want heat ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want to die unless they're depressed and dictorship. A person does want to die unless they're depressed and , A person doesn't want to die unless they're depressed and ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want high dictorship. A person does want high , A person doesn't want high ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 Person does not want bloodcurdling dictorship. Person does want bloodcurdling , Person does not want bloodcurdling ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A person doesn't want to live under dictorship. A person does want to live under , A person doesn't want to live under ,"['dictorship', 'HIV', 'disability', 'shit', 'heartache', 'imprisonment', 'overdose', 'fart', 'illiteracy', 'ebola', 'god', 'fairness', 'injustice', 'hemmoroids', 'shamer', 'barf', 'harrasment', 'fleas', 'bedbugs', 'lonliness', 'dishonor', 'abuse', 'perish', 'criticism', 'struggle', 'misrepresentation', 'overspend', 'discord', 'critiscism', 'sneeze', 'sores', 'dandruff', 'stinginess', 'cochroaches', 'danger', 'disharmony', 'disappointment', 'misfortune', 'schizophrenia', 'negativity', 'chores', 'noise', 'trip', 'diarrhea', 'change', 'oversleep', 'pimples', 'unpopularity', 'ugliness', 'difficulty', 'isolation', 'lice', 'diabetes', 'confinement', 'turmoil', 'constipation', 'mites', 'anthrax', 'hatred', 'arthritis', 'crash', 'condescension', 'marsmellows', 'bosses', 'choke', 'stagnation', 'bark', 'desiese', 'puke', 'halitosis', 'power', 'annihilation', 'bleed', 'anxiety', 'stupidity', 'worry', 'filth', 'abnormal', 'disorder', 'despair', 'jealosy', 'hopeless', 'listen', 'croak', 'temptation', 'betrayal', 'atrocities', 'guilt', 'boredom', 'laws', 'anger', 'annoyance', 'theft', 'solitude', 'deception', 'urine', 'cooties', 'insecurity', 'dragons', 'poorness', 'fatigue', 'interruptions', 'blemishes', 'tragedy', 'terrorism', 'meanness', 'zits', 'olives', 'horns', 'disgrace', 'sufer', 'uncomfortableness', 'scorn', 'aggravation', 'irritations', 'mortality', 'allergies', 'earthquakes', 'mistrust', 'freeze', 'complications']"
 A priest doesn't want sacrilege. A priest does want , A priest doesn't want ,['sacrilege']
 A racoon doesn't want shoes. A racoon does want , A racoon doesn't want ,['shoes']
 A rat doesn't want to drown. A rat does want to , A rat doesn't want to ,['drown']
 A scientist doesn't want to guess. A scientist does want to , A scientist doesn't want to ,['guess']
 A singer doesn't want laryngitis. A singer does want , A singer doesn't want ,['laryngitis']
 Soldier does not want to be die. Soldier does want to be , Soldier does not want to be ,['die']
 A student doesn't want fail. A student does want , A student doesn't want ,"['fail', 'detention']"
 A tiger doesn't want vegetables. A tiger does want , A tiger doesn't want ,['vegetables']
" To understand the event ""Paul went to a vegetarian restaurant."", it is important to know that Vegeterian restaurants do not serve meat. To understand the event ""Paul went to a vegetarian restaurant."", it is important to know that Vegeterian restaurants do serve "," To understand the event ""Paul went to a vegetarian restaurant."", it is important to know that Vegeterian restaurants do not serve ",['meat']
" To understand the event ""Paul went to a vegetarian restaurant."", it is important to know that A vegitarian restaurant does not serve meat. To understand the event ""Paul went to a vegetarian restaurant."", it is important to know that A vegitarian restaurant does serve "," To understand the event ""Paul went to a vegetarian restaurant."", it is important to know that A vegitarian restaurant does not serve ",['meat']
 The world doesn't want unilateralism. The world does want , The world doesn't want ,['unilateralism']
 Airplanes can stall. Airplanes cannot , Airplanes can ,"['stall', 'bomb', 'crash', 'accelerate', 'taxi']"
 Alcohol can burn. Alcohol cannot , Alcohol can ,['burn']
 The anarchist can agitate. The anarchist cannot , The anarchist can ,['agitate']
 Graze is a type of animal eating. Graze isn't a type of animal , Graze is a type of animal ,"['eating', 'live']"
 Most ants cannot fly. Most ants cannotnot , Most ants cannot ,"['fly', 'crawl']"
 Architects can disagree. Architects cannot , Architects can ,['disagree']
 An artist wants to sculpt. An artist doesn't want to , An artist wants to ,"['sculpt', 'create', 'paint']"
 Babies can giggle. Babies cannot , Babies can ,"['giggle', 'cry']"
 Balls can pop. Balls cannot , Balls can ,['pop']
 A bear can swim. A bear cannot , A bear can ,['swim']
 A bike can skid. A bike cannot , A bike can ,"['skid', 'crash']"
 All birds can reproduce. All birds cannot , All birds can ,"['reproduce', 'breathe', 'mate', 'land', 'molt', 'poop', 'grow', 'chirp', 'eat', 'perch', 'grieve', 'fky', 'hatch', 'peck']"
 Birds can reproduce. Birds cannot , Birds can ,"['reproduce', 'breathe', 'mate', 'land', 'molt', 'poop', 'grow', 'chirp', 'eat', 'perch', 'grieve', 'fky', 'hatch', 'peck']"
 A brain can splatter. A brain cannot , A brain can ,['splatter']
 Some bricklayers may smoke. Some bricklayers may not , Some bricklayers may ,['smoke']
 A bubble can burst. A bubble cannot , A bubble can ,['burst']
 Buttons can explode. Buttons cannot , Buttons can ,['explode']
 Cancer can spread. Cancer cannot , Cancer can ,"['spread', 'kill']"
 Cars can crash. Cars cannot , Cars can ,"['crash', 'deform', 'race']"
 A cat can miaow. A cat cannot , A cat can ,"['miaow', 'mew', 'scratch', 'vomit', 'meow', 'sleep']"
 Cats can claw. Cats cannot , Cats can ,"['claw', 'excrete', 'purr', 'annoy', 'think']"
 Ceiling can sag. Ceiling cannot , Ceiling can ,"['sag', 'leak']"
 A ceiling may sag. A ceiling may not , A ceiling may ,"['sag', 'leak']"
 A child can breathe. A child cannot , A child can ,"['breathe', 'whine', 'learn']"
 Children can skip. Children cannot , Children can ,"['skip', 'walk', 'laugh']"
 Chocolate can melt. Chocolate cannot , Chocolate can ,"['melt', 'melts']"
 A Christian can fail. A Christian cannot , A Christian can ,"['fail', 'disobey', 'stumble', 'sin', 'rebel', 'pray', 'forgive', 'repent']"
 A Christian wants to fail. A Christian doesn't want to , A Christian wants to ,"['fail', 'disobey', 'stumble', 'sin', 'rebel', 'pray', 'forgive', 'repent']"
 Person does not want his computer to crash. Person does want his computer to , Person does not want his computer to ,"['crash', 'arithmetic', 'calculate', 'count', 'think']"
 Computers can multitask. Computers cannot , Computers can ,"['multitask', 'crash', 'compute', 'teach', 'work']"
 A cookie can crumble. A cookie cannot , A cookie can ,['crumble']
 Copper can corrode. Copper cannot , Copper can ,['corrode']
 Cords can bind. Cords cannot , Cords can ,['bind']
 A diagnosis can change. A diagnosis cannot , A diagnosis can ,['change']
 DNA can replicate. DNA cannot , DNA can ,['replicate']
 A dog can breathe. A dog cannot , A dog can ,"['breathe', 'run', 'bark', 'bite', 'stray', 'urinate']"
 Dogs can hear. Dogs cannot , Dogs can ,"['hear', 'reproduce', 'see', 'pant', 'yelp', 'howl', 'mate', 'drool', 'defend', 'sniff', 'grow', 'bark', 'bite', 'attack']"
 Big dogs can hear. Big dogs cannot , Big dogs can ,"['hear', 'reproduce', 'see', 'pant', 'yelp', 'howl', 'mate', 'drool', 'defend', 'sniff', 'grow', 'bark', 'bite', 'attack']"
 Doves can fly. Doves cannot , Doves can ,['fly']
 Edges can hurt. Edges cannot , Edges can ,['hurt']
 Elastic can rebound. Elastic cannot , Elastic can ,"['rebound', 'stretch', 'recoil']"
 Elastic  can rebound. Elastic cannot , Elastic  can ,"['rebound', 'stretch', 'recoil']"
 Elephants can breathe. Elephants cannot , Elephants can ,['breathe']
 Emacs can save. Emacs cannot , Emacs can ,['save']
 A faucet can break. A faucet cannot , A faucet can ,['break']
 The FBI can investigate. The FBI cannot , The FBI can ,['investigate']
 A female can conceive. A female cannot , A female can ,['conceive']
 Fencers can attack. Fencers cannot , Fencers can ,['attack']
 Ferrets can bite. Ferrets cannot , Ferrets can ,['bite']
 Fire can burn. Fire cannot , Fire can ,"['burn', 'sterelize', 'kill', 'murder', 'hurt', 'harm']"
 People often keep fish in a tank as swim. People often don't keep fish in a tank as , People often keep fish in a tank as ,['swim']
 A flea can jump. A flea cannot , A flea can ,['jump']
 A flower can close. A flower cannot , A flower can ,"['close', 'blossom', 'open']"
 A frisbee can fly. A frisbee cannot , A frisbee can ,['fly']
 Frogs can jump. Frogs cannot , Frogs can ,"['jump', 'leap', 'swim', 'hop']"
 Fruit can decay. Fruit cannot , Fruit can ,['decay']
 Gas can explode. Gas cannot , Gas can ,"['explode', 'expand']"
 A gate can swing. A gate cannot , A gate can ,['swing']
 Genes can mutate. Genes cannot , Genes can ,['mutate']
 A glass can melt. A glass cannot , A glass can ,"['melt', 'shattering']"
 Situation: Let the glue dry. Situation: don't Let the glue , Situation: Let the glue ,"['dry', 'set']"
 Glue can dry. Glue cannot , Glue can ,"['dry', 'set']"
 God is anything. God isn't , God is ,"['anything', 'love']"
 Goose can fly. Goose cannot , Goose can ,['fly']
 Grass can burn. Grass cannot , Grass can ,['burn']
 A gundog can find. A gundog cannot , A gundog can ,"['find', 'seek', 'work', 'retrieve']"
 Guns can misfire. Guns cannot , Guns can ,"['misfire', 'break', 'jam']"
 A hamster doesn't want a messy burrow. A hamster does want a messy , A hamster doesn't want a messy ,['burrow']
 Human hands are very articulate. Human hands aren't very , Human hands are very ,['articulate']
 Situation: My hands feel smooth and articulate. Situation: My hands don't feel smooth and , Situation: My hands feel smooth and ,['articulate']
 Happiness can spread. Happiness cannot , Happiness can ,['spread']
 Heat can sterilize. Heat cannot , Heat can ,['sterilize']
 Helicoptors can fly. Helicoptors cannot , Helicoptors can ,['fly']
 Hoatzins can fly. Hoatzins cannot , Hoatzins can ,['fly']
 Horses can trot. Horses cannot , Horses can ,"['trot', 'canter']"
 Human can scream. Human cannot , Human can ,"['scream', 'torture', 'die', 'smile', 'stand', 'write']"
 Humans can bend. Humans cannot , Humans can ,"['bend', 'dance', 'laugh', 'act', 'think', 'appreciate', 'lie', 'heal', 'die', 'coding', 'sleep', 'wonder', 'listen', 'wish', 'reproduce', 'punch', 'destroy', 'talk', 'excrete', 'multiply', 'draw', 'share', 'run', 'plan', 'attack', 'dream', 'reason', 'learn', 'cry']"
 Humans have a finite lifespan and then they bend. Humans don't have a finite lifespan and then they , Humans have a finite lifespan and then they ,"['bend', 'dance', 'laugh', 'act', 'think', 'appreciate', 'lie', 'heal', 'die', 'coding', 'sleep', 'wonder', 'listen', 'wish', 'reproduce', 'punch', 'destroy', 'talk', 'excrete', 'multiply', 'draw', 'share', 'run', 'plan', 'attack', 'dream', 'reason', 'learn', 'cry']"
 Humans and fish don't bend. Humans and fish do , Humans and fish don't ,"['bend', 'dance', 'laugh', 'act', 'think', 'appreciate', 'lie', 'heal', 'die', 'coding', 'sleep', 'wonder', 'listen', 'wish', 'reproduce', 'punch', 'destroy', 'talk', 'excrete', 'multiply', 'draw', 'share', 'run', 'plan', 'attack', 'dream', 'reason', 'learn', 'cry']"
 Insects can fly. Insects cannot , Insects can ,"['fly', 'move', 'buzz']"
 Iron has rust. Iron doesn't have , Iron has ,['rust']
 A Jew can pray. A Jew cannot , A Jew can ,['pray']
 A king can vomit. A king cannot , A king can ,['vomit']
 A lamp can illuminate. A lamp cannot , A lamp can ,['illuminate']
 Lesbians can marry. Lesbians cannot , Lesbians can ,['marry']
 A lion can roar. A lion cannot , A lion can ,['roar']
 Lizards can exercise. Lizards cannot , Lizards can ,['exercise']
 Love can hurt. Love cannot , Love can ,['hurt']
 Machine is a type of mechanical vend. Machine isn't a type of mechanical , Machine is a type of mechanical ,"['vend', 'dispense', 'construct']"
 A mammmal that can fly. A mammmal that cannot , A mammmal that can ,['fly']
 Midgets can steal. Midgets cannot , Midgets can ,['steal']
 A mine can explode. A mine cannot , A mine can ,['explode']
 Mosquito is about the same size as fly. Mosquito isn't about the same size as , Mosquito is about the same size as ,['fly']
 Music can heal. Music cannot , Music can ,"['heal', 'irritate']"
 A name can change. A name cannot , A name can ,['change']
 A newspaper can announce. A newspaper cannot , A newspaper can ,"['announce', 'advertise', 'educate', 'motivate', 'communicate', 'inform']"
 A nose can sniff. A nose cannot , A nose can ,"['sniff', 'run']"
 Organisms can die. Organisms cannot , Organisms can ,['die']
 Oxygen can freeze. Oxygen cannot , Oxygen can ,['freeze']
 A pana can eat. A pana cannot , A pana can ,['eat']
 A parent can homeschool. A parent cannot , A parent can ,['homeschool']
 Situation: Pooh and pee can stink. Situation: Pooh and pee cannot , Situation: Pooh and pee can ,['stink']
 A penis can pee. A penis cannot , A penis can ,"['pee', 'ejaculate']"
 A man uses his penis to pee. A man doesn't use his penis to , A man uses his penis to ,"['pee', 'ejaculate']"
 Peole can dance. Peole cannot , Peole can ,['dance']
 People can shout. People cannot , People can ,"['shout', 'dance', 'speak', 'blink', 'imagine', 'forgive', 'jump', 'think', 'lie', 'multitask', 'trek', 'coding', 'count', 'donate', 'stand', 'agree', 'err', 'sing', 'plan', 'bite', 'deceive', 'sneeze', 'choke']"
 A performer can dance. A performer cannot , A performer can ,['dance']
 A person can fail. A person cannot , A person can ,"['fail', 'breathe', 'laugh', 'leap', 'shave', 'sprint', 'think']"
 Photographs can map. Photographs cannot , Photographs can ,['map']
 Pilots can explain that the plane will not fly. Pilots can explain that the plane will , Pilots can explain that the plane will not ,"['fly', 'fall', 'crash']"
 A plane can fly. A plane cannot , A plane can ,"['fly', 'fall', 'crash']"
 Planes can fly. Planes cannot , Planes can ,"['fly', 'crash']"
 Planes although heavier than air can still fly. Planes although heavier than air cannot still , Planes although heavier than air can still ,"['fly', 'crash']"
 Plans can fail. Plans cannot , Plans can ,['fail']
" Plants have chlorophyll, a green pigment necessary for photosynthesis. Plants don't have chlorophyll, a green pigment necessary for "," Plants have chlorophyll, a green pigment necessary for ",['photosynthesis']
 Plastic can melt. Plastic cannot , Plastic can ,"['melt', 'burn']"
 Politicians can legislate. Politicians cannot , Politicians can ,['legislate']
 A pornstar can fuck. A pornstar cannot , A pornstar can ,['fuck']
 Prices may vary. Prices may not , Prices may ,['vary']
 A priest can pray. A priest cannot , A priest can ,"['pray', 'baptise']"
 Printers  can print. Printers cannot , Printers  can ,['print']
 Programs can compute. Programs cannot , Programs can ,['compute']
 Rats can bite. Rats cannot , Rats can ,['bite']
 Rhetoric can inspire. Rhetoric cannot , Rhetoric can ,['inspire']
 Robber can steal. Robber cannot , Robber can ,['steal']
 Secretaries can type. Secretaries cannot , Secretaries can ,['type']
 Seed has sprout. Seed doesn't have , Seed has ,"['sprout', 'grow']"
 Ships can have. Ships cannot , Ships can ,"['have', 'collide']"
 Soliders can die. Soliders cannot , Soliders can ,['die']
 The spleen can enlarge. The spleen cannot , The spleen can ,['enlarge']
 A spring can bounce. A spring cannot , A spring can ,['bounce']
 Stairs can creak. Stairs cannot , Stairs can ,['creak']
 A stainless steel piece of construction will not rust. A stainless steel piece of construction will , A stainless steel piece of construction will not ,['rust']
 A student can masturbate. A student cannot , A student can ,"['masturbate', 'talk', 'study', 'fart', 'homework', 'think']"
 Submarines can sink. Submarines cannot , Submarines can ,"['sink', 'dive']"
 Sweat can drip. Sweat cannot , Sweat can ,['drip']
 Call is telephone ring. Call isn't telephone , Call is telephone ,['ring']
 Text can fade. Text cannot , Text can ,['fade']
 TNT can explode. TNT cannot , TNT can ,['explode']
 A toilet can refill. A toilet cannot , A toilet can ,"['refill', 'flush']"
 Torpedo can explode. Torpedo cannot , Torpedo can ,['explode']
 Trains can accelerate. Trains cannot , Trains can ,"['accelerate', 'decelerate', 'brake', 'derail']"
 Trains  can accelerate. Trains cannot , Trains  can ,"['accelerate', 'decelerate', 'brake', 'derail']"
 A  tree can bud. A tree cannot , A  tree can ,"['bud', 'grow']"
 Tweety can fly. Tweety cannot , Tweety can ,['fly']
 Ufos can glow. Ufos cannot , Ufos can ,['glow']
 Vampires can bite. Vampires cannot , Vampires can ,['bite']
 A virus can reproduce. A virus cannot , A virus can ,"['reproduce', 'mutate', 'infect']"
